name,description,voting,duration,view,status,genre,director,country,follower,quality,rating,studio,season,year,type
Ys: Tenkuu no Shinden - Adol Christine no Bouken,"Chuyển thể từ phần game thứ 2 và tiếp nối ngay sau sự kiện phần 1 với nét vẽ đẹp hơn, những trận chiến hoành tráng hơn, nội dung đen tối hơn và nhạc nền vẫn tuyệt như vậy. Sau khi đánh bại Dark Fact, Adol được đưa tới vùng đất Ys thật sự đang lơ lửng trên bầu trời. Định mệnh của cậu giờ mới bắt đầu.",0.7,4 tập,12358,Trọn bộ,"['Fantasy', 'Drama', 'Demons', 'Adventure', 'Magic']",Watanabe Takashi,Nhật Bản,3,HD,PG-13 - Teens 13 tuổi trở lên,Đang cập nhật,Mùa Thu,1992,Anime bộ
Uta Kata,"Vào ngày cuối của năm học, Ichika Tachibana 14 tuổi tình cờ gặp một cô gái bước ra từ trong gương.",0.7,12 tập,16817,Trọn bộ,"['Drama', 'Magic']",Gotou Keiji,Nhật Bản,11,HD,PG-13 - Teens 13 tuổi trở lên,Hal Film Maker,Mùa Thu,2004,Anime bộ
Biên Niên Sử Nanoha A's,"Hayate, một cô bé bị liệt đôi chân đã tình cờ được chọn là chủ nhân của Quyển Sách Bóng Đêm. Nó sẽ dần ăn mòn cơ thể cô bé nếu 666 trang sách không được lấp đầy bởi pháp lực của những pháp sư khác. 4 hộ vệ của cô bé, những chiến binh Belka, vì muốn cứu chủ nhân nên đã giấu cô bé đi thu thập những trang sách. Tuy nhiên, ngày cuốn sách bị lấp đầy cũng là ngày đại họa đến với trái đất. Nanoha, Fate, Yuuno và những người bạn sẽ phải cùng nhau ngăn cản nó.",0.9,13 tập,51042,Trọn bộ,"['Super Power', 'Drama', 'Comedy', 'Magic', 'Action']",Đang cập nhật,Nhật Bản,43,HD,PG-13 - Teens 13 tuổi trở lên,Seven Arcs,Mùa Thu,2005,Anime bộ
Oshiete! Galko-chan,"Phim Đề cập đến rất nhiều vấn đề tâm sinh lý chị em phụ nữ, đây chỉ là câu hỏi đầu tiên trong tập này, và nó cũng chỉ là tập đầu tiên của series này, không biết đến cuối nó còn hỏi cái gì nữa =)",0.78,12 tập,53791,Trọn bộ,"['School', 'Slice of Life', 'Comedy']",Đang cập nhật,Nhật Bản,62,HD,PG-13 - Teens 13 tuổi trở lên,feel.,Mùa Đông,2016,Anime bộ
Đấng Toàn Năng,"Nhân vật nam chính của chúng ta thì nội công rất là thâm hậu tạo ra 1 lực hấp dẫn vô cùng lớn, như các nhà vật lý bảo... khiến cho các cô gái đẹp từ vũ trụ lũ lượt bị hút vào....",0.7,26 tập,67003,Trọn bộ,"['Shounen', 'Sci-Fi', 'Space', 'Police', 'Harem', 'Comedy', 'Mecha', 'Action']",Watson Barry,Nhật Bản,101,HQ,PG-13 - Teens 13 tuổi trở lên,AIC,Mùa Xuân,2002,Anime bộ
Thương Thần Ký,Thương Thần Ký là bộ phim hoạt hình giả tưởng nói về hai thế lực Thâm Hải và Hoang Xà. Sự đấu tranh của hai thế lực với những lực lượng tinh nhuệ nhất trong đó có Đặc Công (Thâm Hải) tạo nên cuộc đấu tranh hấp dẫn của bộ phim. Thương Thần người lãnh đạo đội ngũ Đặc Công được xưng tụng là Cao thủ bậc nhất...,0.22,chưa rõ,32951,Phim đang chiếu,['Action'],Đang cập nhật,Trung Quốc,25,HD,Đang cập nhật,Đang cập nhật,,,Anime bộ
Tekkouki Mikazuki,"Phim kể về cuộc chiến chống lại các IDOM (Idea-Monsters) của loài người, với sự giúp sức của một nhóm các người máy khổng lồ.",0.67,06 tập,46517,Trọn bộ,"['Tokusatsu', 'Fantasy', 'Mecha']",Keita Amemiya.,Nhật Bản,51,HQ,Đang cập nhật,Đang cập nhật,,,Anime bộ
Vividred Operation,"Câu chuyện này xảy ra ở Oshima. Isshiki Akane, một cô bé 14 tuổi luôn vui vẻ và vô tư, dù tình cảnh khó khăn nhưng cô bé.",0.94,12 tập,31001,Trọn bộ,"['Sci-Fi', 'Ecchi', 'Action']",Đang cập nhật,Nhật Bản,37,HD,R+ - Dành cho 16 tuổi trở lên,A-1 Pictures,Mùa Đông,2013,Anime bộ
Koi Kaze,"Dựa theo bộ manga cùng tên của Yoshida Motoi, phim là câu chuyện tình ngang trái nhưng cũng không kém phần lãng mạn của 2 anh em có cùng huyết thống.Điều 150. Tội loạn luân- Người nào giao cấu với người cùng dòng máu về trực hệ, với anh chị em cùng cha mẹ, anh chị em cùng cha khác mẹ hoặc cùng mẹ khác cha, thì bị phạt tù từ sáu tháng đến năm năm",0.92,13 tập,25357,Trọn bộ,"['Seinen', 'Romance', 'Slice of Life', 'Psychological', 'Drama']",Đang cập nhật,Nhật Bản,27,SD,R - 17+ (bạo lực và tục tĩu),A.C.G.T.,Mùa Xuân,2004,Anime bộ
Linh Vực,"Thế giới ảo huyền mênh mông vô định, giữa vạn vật luôn biến đổi, ở đây giữa là thực hay là mơ, là ảo ảnh vô cùng hay sống động. Truyện tranh là thế còn anime thì các bạn xem sẽ rõ =))",0.8,chưa rõ,79240,Phim đang chiếu,"['Cartoon', 'Adventure', 'Action']",Đang cập nhật,Trung Quốc,69,HD,Đang cập nhật,Đang cập nhật,,,Anime bộ
Otome wa Boku ni Koishiteru: Futari no Elder The Animation,"Kisakinomiya Chihaya nhập học trường nữ sinh Seio sau yêu cầu của mẹ anh. Ở đây anh đã gặp Nanahara Kaoruko, và anh bắt đầu sống trong ký túc xá cùng với cô. Ngay từ ngày đầu nhập học, anh đã trở thành tâm điểm của sự chú ý do ngoại hình, tài năng và điểm số học tập của mình.",0.8,chưa rõ,54701,Phim đang chiếu,"['School', 'Romance', 'Drama']",Kawatsura Shinya,Nhật Bản,77,HD,PG-13 - Teens 13 tuổi trở lên,Silver Link.,Mùa Hạ,2012,Anime bộ
Kimikiss Pure Rouge,"Nội dung phim kể về tình yêu sét đánh của cô bé đang theo học sinh trung học Mao Mizusawa, cậu đã ra nước ngoài sống với gia đình từ rất lâu nhưng làn này cậu đã trở về Nhật Bản nơi quê hương của cậu, khi đó người bạn của họ chính là Kouichi Sanada đáng yêu, khi nghe tin bạn mình từ xa trở về và sắp học chung trường, Mao đã cảm thấy vui vẽ và háo hức vô cùng, từ đây giữa họ đã diễn ra một tình yêu sét đánh vô cùng khốc liệt trong hai trái tim con người họ, tình bạn năm xưa đã nuôi ấp ủ nay đã lớn dần trong tim, diễn biến thế nào nữa đây?.Kouichi Sanada và bạn thời thơ ấu Kazuki Aihara của Mao Mizusawa đã trở lại sau khi sống ở Pháp trong một vài năm . Kouichi là ngạc nhiên khi biết rằng , kể từ khi cha mẹ cô đang còn lại ở nước ngoài trong thời gian này , mẹ anh đã đồng ý để cho Mao ở lại với họ . Ba người bạn giúp nhau thỏa thuận khác với những thăng trầm của sự lãng mạn học cao . Mời các bạn cùng xem KimiKiss Pure Rouge VietSub cho đến tập kết nha, chúc các bạn hạnh phúc và xem thật sự vui vẽ.",0.74,24 tập,38970,Trọn bộ,"['School', 'Romance', 'Drama']",Đang cập nhật,Nhật Bản,56,HQ,PG-13 - Teens 13 tuổi trở lên,J.C.Staff,Mùa Thu,2007,Anime bộ
Escha Chron,"Câu chuyện kể về hai cô gái Escha và Chron, hai người có tính cách tương phản giống như mặt trời và mặt trăng. Hai cô gái đến từ Terminal, một thế giới hậu khải huyền trong tương lai trống rỗng và đơn sắc. Hai cô gái băng qua thế giới và đến ngày nay, họ gọi là Transit. Khi Escha và Chron trải nghiệm ánh sáng (phong cảnh) và âm thanh (âm nhạc) của thế giới thực, thế giới tương lai của Terminal dần biến thành một thế giới sinh động hơn.",0.77,02 tập,14769,Phim đang chiếu,"['Sci-Fi', 'Slice of Life', 'Music']",Mizushima Seiji,Nhật Bản,13,HD,PG-13 - Teens 13 tuổi trở lên,Lerche,Mùa Hạ,2017,Anime bộ
Siêu Nhân Build,"Kamen Rider Build 2017Bộ phim ""Siêu Nhân  Build"" ói về 1 chiếc hộp bí ẩn gọi là “Pandora” được tìm thấy trên sao Hỏa, khi mở nó ra, thình lình trên bầu trời xuất hiện bức tường gọi là “SkyWall” và chia cắt Nhật Bản thành 3 khu vực : Touto, Hokuto, và Saito (Đông Đô, Bắc Đô và Tây Đô). Cùng lúc đó, ở các khu vực xuất hiện quái vật tên là “smash” quấy phá người dân.nhân vật chính là Kiryuu Sento, một thiên tài vật lý học bị – mất- ký-ức do một tai nạn nhiều năm trước, Kiryuu sống tại nhà một người tốt bụng đã ra tay giúp đỡ khi anh gặp nguy khốn. Nhận lời đề nghị của chính quyền, Kiryuu bắt đầu cuộc nghiên cứu nhằm giải mã bí ẩn chiếc hộp Pandora và thân thế thực sự của mình. Tình cờ thay, vẫn có một người biết quá khứ của Kiryuu, đó là Banjo Ryuga – tù vượt ngục, thụ án với tội danh “Giết người”, đi cùng Kiryuu trong series này, còn có Isurugi Misora , một cô gái có khả năng đặc biệt gây bất lợi với lũ quái vật. ",0.9,49 tập,526161,Trọn bộ,['Tokusatsu'],Đang cập nhật,Nhật Bản,672,HD,PG-13 - Teens 13 tuổi trở lên,Đang cập nhật,,,Anime bộ
Shinya Shokudo,"Khi một ngày dần kết thúc, người người hối hả trở về căn nhà ấm cúng của mình. Nhưng đôi khi họ chợt cảm thấy không muốn đi theo hành trình quen thuộc đó nữa, và họ chọn Quán Ăn Đêm làm nơi dừng chân.Quán ăn nhỏ mở cửa từ nửa đêm đến 7h sáng hôm sau, với thực đơn khá khiêm tốn nhưng chủ quán lại sẵn sàng phục vụ những món khách yêu cầu trong khả năng của mình. Khách đến quán thường rất đa dạng, có thể là một vũ công hạng nhất, một tay xã hội đen khét tiếng, một chủ quán gay bar, hay chỉ là một kẻ vô gia cư. Và mỗi món ăn họ gọi đều gắn liền với một ký ức quan trọng nào đó, khiến một món ăn bình thường cũng có thể ngon đến ngất ngây.Bộ phim là những mẩu chuyện xoay quanh những món ăn và câu chuyện đời của thực khách qua góc nhìn của ông chủ quán. Khuyến cáo nhỏ khi xem phim buổi đêm là có thể bạn sẽ phải nuốt nước miếng với tần suất đáng kinh ngạc đấy T.T",0.96,30 tập,34529,Phim đang chiếu,"['Romance', 'Psychological']",Joji Matsuoka,Nhật Bản,29,HD,Đang cập nhật,Đang cập nhật,Mùa Thu,2009,Anime bộ
Kimi ga Nozomu Eien, Câu chuyện kể về mối tình của 3 người bạn. Nội dung tưởng như êm đềm nhưng một thảm kịch đã xảy ra khiến cuộc sống của họ thay đổi hoàn toàn. Một bộ Anime rất tình cảm có lẽ sẽ khiến bạn phải rơi lệ đấy ^.^,0.72,15 tập,26854,Trọn bộ,"['Romance', 'Slice of Life', 'Drama']",Đang cập nhật,Nhật Bản,26,SD,R+ - Dành cho 16 tuổi trở lên,Studio Fantasia,Mùa Thu,2003,Anime bộ
Chạm Tới Chén Thánh,"Hakuno thấy mình bị buộc phải đấu tranh để sống sót trong một cuộc chiến mà anh không hiểu vì một giải thưởng vượt quá giá trị, Waking up trong một thế giới ảo kỳ lạ mà không hồi tưởng lại quá khứ. cơ hội để có được mong muốn của một người. Hakuno Kishinami sẽ phải đối mặt với cả bạn bè và kẻ thù trong trận chiến với cái chết để không chỉ chiếm hữu một vật thể bí ẩn được biết đến như là Chén Thánh, mà còn để tìm kiếm trả lời cho câu hỏi quan trọng nhất của tất cả: Tôi là ai? (Nguồn: Type-Moon Wikia)",0.99,13 tập,606829,Trọn bộ,"['Fantasy', 'Magic', 'Action']",Shinbou Akiyuki,Nhật Bản,225,HD,R - 17+ (bạo lực và tục tĩu),Shaft,Mùa Đông,2018,Anime bộ
Iya na Kao sare nagara Opantsu Misete Moraitai,Dựa trên doujin người lớn của Shimahara,0.87,06 tập,923284,Trọn bộ,['Ecchi'],Đang cập nhật,Nhật Bản,1549,HD,Đang cập nhật,Đang cập nhật,Mùa Hạ,2018,Anime bộ
Đế Vương Công Lược,"'Xuất thân từ hoàng tộc, Sở Uyên mỗi việc làm đều như đi một nước cờ - có thể nhìn như không có gì, nhưng có ảnh hưởng đến cả đại cục.Đăng cơ năm mười tám tuổi thì chưa tới nửa năm sau Vân Nam đã nổi loạn, mặc dù các lão thần đương triều mỗi người một tâm tư khác nhau nhưng đều muốn xem tân hoàng đế sẽ xử lý cục diện như thế nào. Cũng thật khó lường, tân đế ở vương thành còn chưa kịp tạo ra động tĩnh thì ngàn dặm ngoài kia, Tây Nam Vương Đoàn Bạch Nguyệt đã sớm tự xuất binh dẹp loạn, thế như chẻ tre, không quá nửa năm đã bình định giặc cỏ.Nội cung lác đác ánh trăng, Sở Uyên tự tay đóng con dấu, hạ lệnh đưa mật hàm khẩn cấp tám trăm dặm tới Vân Nam – Lần này lại muốn trẫm dùng cái gì trao đổi?Nét chữ cứng rắn thấm qua cả mặt sau giấy tuyên thành, hầu như có thể nhìn ra được lúc viết mấy chữ này, vị đế vương trẻ tuổi đã phẫn nộ ra sao.Đoàn Bạch Nguyệt thong thả mở giấy ra, đoan đoan chính chính trả lời một chữ.Ngươi.''",0.79,20 tập,100056,Trọn bộ,['Yaoi'],Đang cập nhật,Trung Quốc,84,HD,Đang cập nhật,Đang cập nhật,,,Anime bộ
Saint Seiya: Meiou Hades Meikai-hen,"Đây là phần tiếp theo SAINT SEIYA: THE HADES CHAPTER - SANCTUARY Sau một khoảng thời gian khá dài từ Chapter Santuary ( 12 - 2002 ) . Dự án Hades đã được Toei khởi động lại . Như đã biết từ phần Sanctuary , Saori Kido aka Athena đã tự nguyện xuống chốn tăm tối vĩnh cửu để đánh bại Minh Vương Hades . Linh hồn và thể xác của Xion đã hoàn toàn tan vào hư không . Dohko - Gold Saint Libra và Canon em trai của Gold Saint Gemini đã quyết định xuống Âm phủ để cứu Athena . Trong lúc đó linh hồn của 10 Gold Saint là Aioria , Aldebaran , Mur , Shaka , Milo , Death Mask , Shura , Camus , Aphrodite , Saga đang bị giam cầm ở tầng cuối cùng của địa ngục dưới tay chân của Hades . Seiya - Saint Pegasus đã quyết tâm xuống âm phủ để cứu người nữ thần - đồng thời là người yêu thương của anh.",1,12 tập,24960,Trọn bộ,"['Shounen', 'Sci-Fi', 'Super Power', 'Fantasy', 'Demons', 'Adventure', 'Action']",Đang cập nhật,Nhật Bản,4,HD,PG-13 - Teens 13 tuổi trở lên,Toei Animation,Mùa Đông,2005,Anime bộ
Zoids Wild,"Đây là Mùa thứ 3 của Zoids có tựa đề Zoids Wild. Zoids là những sinh vật mạnh nhất được tạo thành từ các cơ thể kim loại và bản năng động vật trong khi có tinh thần chiến đấu và đứng ở đỉnh của kim tự tháp thực phẩm! Khi con người và zoids hình thành mối liên kết cuối cùng, một sức mạnh tiềm ẩn được đánh thức! Sức mạnh đó được gọi là 'Wild Burst'!",0.96,chưa rõ,27572,Phim đang chiếu,"['Sci-Fi', 'Comedy', 'Adventure', 'Mecha', 'Action']",Đang cập nhật,Nhật Bản,24,HD,PG - Trẻ em,Đang cập nhật,Mùa Hạ,2018,Anime bộ
Ngày Phán Xét,"Ngày 1 tháng 5 năm 1945, trước khoảnh khắc Berlin sụp đổ, một nhóm binh sĩ phát xít Đức đã thực hiện một nghi lễ. Không ai biết liệu nghi lễ đó đã thành công hay không, nhưng những người này đã biến mất cùng với nghi lễ đó sau thế chiến.61 năm sau, tại thành phố Suwahara.Fuji Ren, người vừa chỉ mới xuất viện sau hai tháng kể từ khi đánh một trận sinh tử cùng với người bạn thân Yusa Shirou của mình, đang chuẩn bị chào đón tiết trời mùa Đông, khi lễ Giáng Sinh đang đến gần. Cậu muốn thay đổi cuộc sống thường nhật của mình; nhưng suy nghĩ này sớm bị phá vỡ bởi hàng loạt những chuyện hoang đường, phi lý bỗng xuất hiện, lấy đi những thứ mà Fuji Ren đang cố gắng níu giữ vốn còn sót lại.Cậu ta biết mình cần phải thay đổi dù cho phải vượt sang ranh giới giữa cái phi thường hay sự tầm thường để lấy lại những ngày đơn giản, đầy hạnh phúc đã qua.Đối đầu với Thập Tam Hiệp Sĩ Thánh Thương Hội (Longinus Dreizehn Orden) là phần tiếp theo của một cuộc chiến dang dở, đầy những ác mộng cùng mùi máu tanh. Liệu tương lai dành cho Fuji Ren đang chờ ở phía trước sẽ là gì?",0.92,11 tập,269169,Trọn bộ,"['Super Power', 'Magic', 'Action']",Kudou Susumu,Nhật Bản,392,HD,Đang cập nhật,A.C.G.T.,Mùa Thu,2017,Anime bộ
Lost Song,"Rin, một cô gái năng động và thích ăn uống, sống ở một ngôi làng xa xôi.Và sâu trong cung điện hoàng gia trong thành phố thủ đô, cô ca sĩ Finis dành cả ngày trong cô độc. Hai người đều có khả năng đặc biệt mà không ai khác có. Khả năng có thể chữa lành vết thương, tạo nguồn nước và gọi lên gió -- năng lực của những bài hát. Được số phận dẫn lối, hai người phụ nữ trẻ đi trên hành trình cùng sức mạnh của những câu hát. Bóng tối của chiến tranh xà xuống vương quốc, làm ô bẩn những bài ca bằng dòng máu của những người vô tội. Số phận của hai người sẽ giao nhau, liệu bài hát cuối cùng sẽ cho tuyệt vọng, hi vọng, hay...?",0.9,12 tập,25689,Trọn bộ,"['Fantasy', 'Drama']",Đang cập nhật,Nhật Bản,24,HD,PG-13 - Teens 13 tuổi trở lên,"Dwango, LIDENFILMS",Mùa Hạ,2018,Anime bộ
Vượt qua thời gian,Fumikiri Jikan là tổng hợp những câu chuyện ngắn về những cuộc đối thoại của cô gái trẻ khi đứng chờ ở đoạn đường giao cắt với đường sắt.,0.88,12 tập,40572,Trọn bộ,"['Slice of Life', 'Comedy']",Suzuki Yoshio,Nhật Bản,39,HD,Đang cập nhật,EKACHI EPILKA,Mùa Xuân,2018,Anime bộ
Grappler Baki,"Baki Hanma là một chiến binh trẻ, những người khao khát theo bước chân của cha mình, Yujiro, và trở thành chiến binh mạnh nhất trên thế giới. Qua đó anh đào tạo không mệt mỏi và chiến đấu liên tục để trau dồi kỹ năng của mình và phát triển cơ thể để đạt được những mục tiêu này. Nhiều trận chiến dữ dội nằm trước Baki khi anh ta đi tìm kiếm mình là tốt nhất và cuối cùng lấy danh hiệu ""Vua"" từ cha mình.",0.93,48 tập,860041,Trọn bộ,"['Shounen', 'Sports', 'Martial Arts', 'Action']",Cook Justin,Nhật Bản,1078,SD,PG-13 - Teens 13 tuổi trở lên,Group TAC,Mùa Xuân,2001,Anime bộ
Choboraunyopomi Gekijou Ai Mai Mii,"Anime được chuyển thể từ bộ truyện tranh 4 trang hàng dọc ""Ai Mai Mi"" Câu chuyện kể về các cô gái trong CLB manga -Ai, Mai, Mi và Ponoka-sempai những con người có thể chống lại quân xâm lược ác đe dọa trái đất, đối mặt vơí các đối thủ trong các giải đấu, và đối phó với những tình huống hài hước khác khi họ không vẽ manga.",0.74,13 tập,17205,Trọn bộ,"['Slice of Life', 'Comedy']",Đang cập nhật,Nhật Bản,4,HD,PG-13 - Teens 13 tuổi trở lên,Seven,Mùa Đông,2013,Anime bộ
Re:Zero kara Hajimeru Isekai Seikatsu,"Trong phim Subaru Natsuki là một học sinh Trung học bình thường, cậu bị triệu hồi đến một thế giới khác và được cứu bởi một cô gái xinh đẹp. Cậu quyết định ở lại trả ơn cho cô ấy, nhưng không đơn giản như vẻ ngoài của nó. Hai người bị kẻ thù tấn công và họ đã chết. Nhưng chính lúc này cậu lại phát hiện ra khả năng đặc biệt của mình là quay ngược thời gian, tạm gọi là “ Hối Sinh “ về thời điểm mà cậu bắt đầu đến thế giới này nhưng chỉ có một mình cậu nhớ những gì đã xảy ra…. Cậu sẽ làm gì? Hãy cùng đón xem.",0.96,25 tập,1674060,Trọn bộ,"['Thriller', 'Psychological', 'Fantasy', 'Drama']",Đang cập nhật,Nhật Bản,2218,BD,R - 17+ (bạo lực và tục tĩu),White Fox,Mùa Xuân,2016,Anime bộ
7 viên ngọc rồng Kai,"Một phiên bản chỉnh sửa lại của Dragon Ball Z và ít ngoại truyện hơn bám sát câu chuyện từ manga. Phiên bản này bao gồm thoại mới được ghi lại bởi các diễn viên ban đầu bằng giọng nói, hiệu ứng âm thanh mới, trình tự OP / ED mới",0.8,97 tập,2157599,Trọn bộ,"['Shounen', 'Super Power', 'Fantasy', 'Comedy', 'Adventure', 'Martial Arts', 'Action']",Đang cập nhật,Nhật Bản,1266,HD,PG-13 - Teens 13 tuổi trở lên,Toei Animation,Mùa Xuân,2009,Anime bộ
To Heart 2,"Sau khi tốt nghiệp cô khỏi trường trung học, Konomi Yuzuhara vào các trường trung học như Takaaki Kono, người bạn thời thơ ấu của mình. Khi năm học mới bắt đầu, họ gặp bạn thời thơ ấu của họ Tamaki Kosaka, cũng như nhiều người bạn mới. Không biết rằng nhóm, gặp gỡ của họ với nhau sẽ sớm dẫn đến nhiều cuộc phiêu lưu đáng nhớ.",0.82,13 tập,38491,Trọn bộ,"['School', 'Romance', 'Slice of Life', 'Harem', 'Drama', 'Comedy']",Đang cập nhật,Nhật Bản,29,HD,PG-13 - Teens 13 tuổi trở lên,OLM,Mùa Thu,2005,Anime bộ
Mouse,"Sotara là một giáo viên dạy mỹ thuật ở một trường cấp 3 bình thường và được nữ sinh mến mộ. Thế nhưng........dưới cái bộ mặt đạo đức giả ấy, Sotara thật ra là ''Tí đạo chích'' (Mouse the Thief) cực kì nổi tiếng. Đạ mấu cờ hó nào mong chờ cảnh hen như trong truyện thì không có đâu nha..",0.54,12 tập,55928,Trọn bộ,"['Shounen', 'Harem', 'Ecchi', 'Comedy', 'Action']",Đang cập nhật,Nhật Bản,56,HQ,R+ - Dành cho 16 tuổi trở lên,"Studio Deen, Studio Hibari, Production Reed",Mùa Đông,2003,Anime bộ
Ano Hi no Kanojo-tachi,Một anime ngắn tập trung vào nhóm nhạc thần tượng ảo 22/7 trong cuộc sống bình thường hàng ngày.,0.82,chưa rõ,22422,Phim đang chiếu,['Slice of Life'],Đang cập nhật,Nhật Bản,10,HD,G - Mọi lứa tuổi,Đang cập nhật,Mùa Xuân,2018,Anime bộ
Senki Zesshou Symphogear AXZ,Mùa thứ 4 của Series phim Senki Zesshou Symphogear.,0.87,13 tập,37749,Trọn bộ,"['Sci-Fi', 'Music', 'Action']",Ono Katsumi,Nhật Bản,22,HD,PG-13 - Teens 13 tuổi trở lên,Satelight,Mùa Hạ,2017,Anime bộ
To Be Heroine,Mùa thứ 2 của To Be Hero,0.7,07 tập,40341,Trọn bộ,"['Super Power', 'Comedy']",Đang cập nhật,Nhật Bản,24,HD,PG-13 - Teens 13 tuổi trở lên,"Haoliners Animation League, Studio LAN",Mùa Xuân,2018,Anime bộ
Minami Kamakura Koukou Joshi Jitenshabu,"Câu chuyện bắt đầu với Hiromi Maiharu, một cô gái mới chuyển từ Nagasaki tới Kamakura. Cô bắt đầu một ngày ở Kamamura và ở trường bằng cách đi xe đạp nhưng cô đã không đạp xe từ rất lâu. Trên đường dự lễ khai giảng đầu năm, cô đã gặp Tomoe Akitsuki và Tomoe đã giúp cô ấy luyện tập xe đạp cho tốt hơn.",0.7,12 tập,15887,Trọn bộ,"['Shounen', 'School', 'Sports']",Kudou Susumu,Nhật Bản,6,HD,PG-13 - Teens 13 tuổi trở lên,"J.C.Staff, A.C.G.T.",Mùa Đông,2017,Anime bộ
Amanchu! Advance,"Hikari Kohinata là một cô nhóc 15 tuổi vui tươi, năng động; sống ở một thị trấn ven biển xinh đẹp tại bán đảo Izu. Vào ngày đầu tiên vào cao trung, cô đã làm quen với Futaba Oki - một cô bé trầm tính vừa chuyển đến từ Tokyo. Trước khi Futaba kịp nhận ra, cô đã bị Hikari lôi kéo đến một môn thể thao rất mới lạ với mình - lặn có bình dưỡng khí. Kể từ lúc đó trở đi, Futaba đã dần bắt đầu bước ra khỏi vỏ bọc của mình và học cách lặn dưới lòng đại dương.",0.69,12 tập,26501,Trọn bộ,"['Shounen', 'School', 'Slice of Life', 'Comedy']",Đang cập nhật,Nhật Bản,12,HD,PG-13 - Teens 13 tuổi trở lên,J.C.Staff,Mùa Xuân,2018,Anime bộ
Nhật Ký Alice,"Câu chuyện này đưa ra một cái nhìn cuộc sống hàng ngày của một đôi hoặc cặp song sinh Alice và anh trai của họ, những người có một phức hợp chị em. Họ ăn các bữa ăn, tham gia chiến đấu, chơi đùa với bạn bè ... Bạn có muốn nhìn vào cuộc sống hằng ngày của Alices dễ thương?",0.88,12 tập,48021,Trọn bộ,"['Seinen', 'Slice of Life']",Kobayashi Kousuke,Nhật Bản,64,HD,Đang cập nhật,EMT²,Mùa Xuân,2018,Anime bộ
Bậc Thầy Ma Pháp OVA,3 OVA của UQ Holder!,0.9,03 tập,78456,Phim đang chiếu,"['Shounen', 'Sci-Fi', 'Fantasy', 'Magic', 'Action']",Đang cập nhật,Nhật Bản,88,HD,PG-13 - Teens 13 tuổi trở lên,Đang cập nhật,Mùa Xuân,2017,Anime bộ
Binan Koukou Chikyuu Boueibu Happy Kiss!,Series tiếp theo của Boueibu LOVE! . Nội dung lại nói về những ma pháp thiếu niên thuộc đội bảo hộ cao trung Binan.,0.78,12 tập,27771,Trọn bộ,"['School', 'Slice of Life', 'Comedy', 'Parody', 'Magic']",Đang cập nhật,Nhật Bản,8,HD,PG-13 - Teens 13 tuổi trở lên,Studio Comet,Mùa Xuân,2018,Anime bộ
Kamen Rider Decade,"Thế giới này, cùng 9 thế giới khác đang bắt đầu sụp đổ. 10 thế giới dần dần kết hợp với nhau làm 1, lúc đó, tất cả sẽ bị huỷ diệt. Không phải quá khứ, không phải tương lai mà nó đang diễn ra từng giờ, từng phút ở hiện tại. Chỉ có 1 cách để ngăn chặn chuyện này : huỷ diệt 9 Riders của 9 thế giới khác, và Kamen Rider Decade chính là người sẽ thực hiện sứ mạng này.Tuy nhiên, cùng lúc với quá trình hợp nhất 10 thế giới, các Grongi, Imajin và Orpheorch bắt đầu xuất hiện và chống lại các Riders. Liệu Rider War có xảy ra ?",0.9,31 tập,360477,Trọn bộ,['Tokusatsu'],Ryuta Tasaki,Nhật Bản,451,HD,Đang cập nhật,Toei Company,Mùa Đông,2009,Anime bộ
Senkou no Night Raid,"Lấy bối cảnh thành phố Thượng Hải năm 1931, vào thời điểm quân đội Hoàng gia Nhật Bản bị trục xuất khỏi Trung Hoa Đại Lục do kết quả của cuộc chiến Trung-Nhật, Nga – Nhật và Thế chiến I . Câu chuyện kể về 1 tổ chức tình báo tên là “Sakurai Kikan” bị lãng quên trong dòng lịch sử đó.",0.63,13 tập,18111,Trọn bộ,"['Super Power', 'Historical', 'Military', 'Action']",Ishihama Masashi,Nhật Bản,7,HD,R - 17+ (bạo lực và tục tĩu),A-1 Pictures,Mùa Xuân,2010,Anime bộ
Karakai Jouzu no Takagi-san,"""Nếu cậu đỏ mặt, cậu sẽ thua.""Sống theo chân lý này, cậu học sinh cấp 2 Nishikata thường xuyên bị Takagi-san cô hàng xóm của mình chọc ghẹo. Với niềm tự hào dũng mãnh của đàn ông Nishikata quyết định trả thù cô bạn ở trên lớp. Và như vậy, cậu ta luôn luôn cố gắng trêu lại Takagi-san mỗi ngày, nhưng thay vào đó lại bị chọc ngược lại. Và Takagi-san đã bị đỏ mặt vì thua.",0.97,12 tập,745797,Trọn bộ,"['Shounen', 'School', 'Romance', 'Slice of Life', 'Comedy']",Đang cập nhật,Nhật Bản,1292,HD,PG-13 - Teens 13 tuổi trở lên,Shin-Ei Animation,Mùa Đông,2018,Anime bộ
Toaru Majutsu no Index-tan II,4 special của Toaru Majutsu no Index II.,0.88,4 tập,94545,Trọn bộ,"['Comedy', 'Parody']",Đang cập nhật,Nhật Bản,38,HD,PG-13 - Teens 13 tuổi trở lên,J.C.Staff,Mùa Đông,2011,Anime bộ
